Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028502,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2018-001,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,10-Oct-18,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028521,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2018-002,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,10-Oct-18,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028469,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2018-003,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,10-Oct-18,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028480,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2018-004,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,10-Oct-18,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028524,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2018-005,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,10-Oct-18,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C190228514,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2018-006,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,10-Oct-18,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028459,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2020-007,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,31-Jan-20,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028526,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2020-008,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,31-Jan-20,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028507,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2020-009,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,31-Jan-20,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,DIGITAL OSCILLOSCOPE,Ralco,UNI-T UTD2025CL,C192028528,25Mhz 250Ms/s Digital Oscilloscope,CISSL-EPAS-2020-010,unit,Operational and in good condition,DepED Central Office,Operational and in good condition,31-Jan-20,3,Mita A. Abergos,EPAS Laboratory,EPAS,SHS RM403,
